Title,CAS Number,Use(s),Synonym(s),Latest Criteria,Inhalation Unit Risk (μg/cubic meter)-1,Inhalation Slope Factor (mg/kg-day)-1,Oral Slope Factor (mg/kg-day)-1,Last Cancer Potency Revision,Acute REL (μg/m3),Species,Acute REL Toxicologic Endpoint,Acute REL Target Organs,Severity,Last Acute REL Revision,8-Hour Inhalation REL (μg/m3),Last 8-Hour REL Revision,Chronic Inhalation REL (μg/m3),Chronic Toxicologic Endpoint,Chronic Target Organs,Human Data,Health Risk Category,Cancer Risk at PHG,MCL value (mg/L),Cancer Risk at MCL,Notification Level (μg/L),Public Health Goal (mg/L),Last PHG Revision,No Significant Risk Level (NSRL) - Inhalation,No Significant Risk Level (NSRL) - Oral,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Inhalation,Maximum Allowable Dose Level (MADL) for chemicals causing reproductive toxicity - Oral,Last NSRL/MADL Revision,Cancer,Cancer - Listing Mechanism,Reproductive Toxicity,Chemical listed under Proposition 65 as causing,Developmental Toxicity - Date of Listing,Developmental Toxicity - Listing Mechanism,Female Reproductive Toxicity - Date of Listing,Female Reproductive Toxicity - Listing Mechanism,Male Reproductive Toxicity - Date of Listing,Male Reproductive Toxicity - Listing Mechanism,"Child-specific refence dose (chRD) (mg/kg-day, unless noted)",Last chRD revision,CHHSL Commercial Non-volatile (mg/kg soil),"CHHSL Commercial Volatile, engineered fill (mcg/l soil gas)","CHHSL Commercial Volatile, no engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, engineered fill (mcg/l soil gas)","CHHSL Residential Volatile, no engineered fill (mcg/l soil gas)",Soil/soil-gas screening number (CHHSL) Residential Non-volatile (mg/kg soil)
Anisindione,117-37-3,Medicine (anticoagulant),"2-(4-Methoxyphenyl)indene-1,3-dione; Miradon; 2-p-Anisyl-1,3-indandione; 2-(4-Methoxyphenyl)-1H-indene-1,3(2H)-dione",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Anthraquinone,84-65-1,"Production of dyes, paper, pharmaceuticals; bird repellant on seeds, gas generator in satellite balloons","Anthracenedione; Dioxoanthracene; 9,10-Anthracenedione; anthradione; 9,10-anthrachinon; anthracene-9,10-quinone; 9,10-dihydro-9,10-dioxoanthracene",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Antimony,7440-36-0,"Alloys, cosmetics, medicine (emetic); flame retardation",Antimony black; Antimony powder; CI 77050; Regulus of antimony; Stibium,,,,,,,,,,,,,,,,,,liver histopathological changes,n/a,0.006,n/a,,0.001 (1 ppb),2016,,,,,,,,,,,,,,,,,,,,,,,
Antimony Trioxide,1309-64-4,"Component of flame retardant treatment for polymers; opacifying agent for glasses, ceramics, and enamels; specialty pigments; naturally occurring as valentinite and senarmontite","Antimony sesquioxide; Antimonous oxide; Antimony oxide, Oxo-oxostibanyloxystibane; Diantimony trioxide",California Public Health Goals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Aramite,140-57-8,Former acaricide and antimicrobial agent,2-P(butylphenoxy)-1-methylethyl-2-chloroethyl sulfite; AI3-16519; Aracide; Aramit; Aratron; Butylphenoxyisopropyl chloroethyl sulfite; Caswell No. 131; CES; Ester of 2-chloroethanol with 2-(p-tert-butylphenoxy)-methyl sulphite; Methylethyl ester; Ortho-mite; Niagaramite; EPA Pesticide Code: 062501,Proposition 65 NSRLs/MADLs,8.6 E-6,3.0 E-2,3.0 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Areca Nut,,"Grows in South and Southeast Asia; chewed with betel leaf for mild stimulant effect; component of Ayurvedic and traditional Chinese medicines, may be used to remove intestinal parasites",Seed of Areca catechu; betel nut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Aristolochic Acids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Arsenic,7440-38-2,"Wood preservative, herbicide, nonferrous alloys, medicine (leukemia treatment); component of tobacco smoke. Formerly used in optical glass.","Arsenic, inorganic; Arsenic black; Arsenic-75; Colloidal arsenic; Gray arsenic; Inorganic arsenic compounds; Metallic arsenic",Reference Exposure Levels,3.3 E-3,1.2 E+1,1.5 E+0,,0.2,Mouse,Reproductive/ development (decreased fetal weight); altered brain structure and funtion,"Reproductive/ development, cardiovascular  system, nervous system",Severe,Jul-14,0.015,"July, 2014",0.015 (inhalation); 0.0035 μg/kg BW-day (oral),,Reproductive/ development; cardiovascular system; nervous  system; lung; skin,Yes,Carcinogenicity,0.000001,0.01,0.0025,,0.000004,2004,0.06 µg/day,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Arsine,7784-42-1,"Synthesis of semiconducting materials, metals refining; proposed chemical warfare weapon during World War II",Agent SA; Arsane; Arsenic hydride; Arsenic trihydride; Arsenous hydride; Hydrogen arsenide,Reference Exposure Levels,,,,,0.2,Mouse,Reproductive/ development (decreased fetal weight); altered brain structure and funtion,"Reproductive/ development, cardiovascular system, nervous system",Severe,2008,0.015,2008,0.015 (inhalation); 0.0035 μg/kg BW-day (oral),,Reproductive/ development; cardiovascular system; nervous system; lung; skin,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asbestos,1332-21-4,"Heat resistant agent used in construction materials, clothing, disk brake pads, gaskets. Use in the US banned for spray-applied surfacing (1973, 1978, 1990); pipe and block insulation on facility components (1975); papers, flooring felt, and rollboard (1976); artificial embers and wall-patching compounds (1977).",Asbestos fiber; Ascarite; Calidria-asbestos,California Public Health Goals,6.3 E-2,2.20 E+2,1.4 E-13 (fibers/L water)^-1,,,,,,,,,,,,,,Carcinogenicity,0.000001,7 million fibers/L,0.000001,,7 million fibers/L,2003,100 fibers/day,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Aspirin,50-78-2,"Medicine (analgesic, anti-inflammatory, antipyretic)",2-acetoxybenzoic acid; acetylsalicylic acid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/1/1990,SQE,7/1/1990,SQE,,,,,,,,,,
Atenolol,29122-68-7,Medicine (beta blocker),"Benzeneacetamide, 4-[2-hydroxy-3-[(1-methylethyl)amino]propoxy]-; Acetamide, 2-(p-(2-hydroxy-3-(isopropylamino)propoxy)phenyl)-; 1-p-Carbamoylmethylphenoxy-3-isopropylamino-2-propanol; 2-(p-(2-Hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide; 4-(2-Hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetamide; 2-(4-[2-Hydroxy-3-(isopropylamino)propoxy]phenyl)acetamide",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,8/26/1997,FR,,,,,,,,,,,,
Atorvastatin calcium,134523-03-8,A statin drug used to lower cholesterol and triglyceride levels in the blood,Lipitor; 134523-03-8; Tahor; Sortis; CI-981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Atrazine,1912-24-9,Herbicide,Aatrex; Akticon; Argezin; Astranex; Atrataf; Atrazin; Atred; Atrex; Candex; Chromozin; Cyazin; Farmaco atrazine; Fenamine; Gesaprim; Inakor; Caswell No. 063; Oleogesaprim; Pitezin; Primatol; Primaze; Radazin; Strazine; Vectal; Weedex A; Wonuk; Zeapos; Zeazin; Zeazine; EPA Pesticide Code: 080803,Proposition 65 NSRLs/MADLs,,,2.3 E-1,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.001,0.000007,,0.00015,1999,,,,100 µg/day,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/15/2016,AB-US EPA,7/15/2016,AB-US EPA,,,6.0 E-3,Oct-07,,,,,,
Atrazine-desisopropyl,1007-28-9,,"2-Amino-4-chloro-6-ethylamino-1,3,5-triazine,, , des-isopropyl atrazine,, , DIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,100 µg/day,,,,Currently listed,"Developmental Toxicity, Female Reproductive Toxicity",7/15/2016,AB-US EPA,7/15/2016,AB-US EPA,,,,,,,,,,
Auramine,492-80-8,"Dye, fungicide, medicine (antiseptic); preparation of solvent yellow 34","4,4-Dimethylaminobenzo-phenonimide; CI Basic Yello 2, free base; Apyonine Auramine base; Auramine base; Auramine OAF; Auremine; CI 41000B; Fat yellow A; Glauramine; Waxoline yellow O; Yellow pyoctanine",Proposition 65 NSRLs/MADLs,2.5 E-4,8.8 E-1,8.8 E-1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Auranofin,34031-32-8,"Medicine (anti-inflammatory, anti-arthritic effects)","s-Triethylphosphine gold(1) 2,3,4,6-tetra-o-acetyl-1-thio-beta-d-glucopyranoside; (1-thio-beta-d-glucopyranosato)-(triethylphosphine)gold2,3,4,6-tetraacetate; 2,3,4,6-tetra-o-acetyl-1-thio-beta-d-glucopyranosato-s(triethylphosphine)gol; gold,(1-thio-beta-d-glucopyranosato-s)(triethylphosphine)-,2,3,4,6-tetraaceta; gold,(1-thio-beta-d-glucopyranose2,3,4,6-tetraacetato-s)(triethylphosphine)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,1/29/1999,FR,,,,,,,,,,,,
Avermectin B1 (Abamectin),71751-41-2,"Insecticide, veterinary medicine (antihelmintic)",Avermectin B(1)a; Abamectin; Abamectin component B1a; Abamectine [French]; Abamectinum [Latin],Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011,,,Currently listed,Developmental Toxicity,12/3/2010,AB-US EPA,,,,,,,,,,,,
Azacitidine,320-67-2,Medicine (treatment of myelodysplastic syndrome),"5-Azacytidine; 4-Amino-1-beta-d-ribofuranosyl-1,3,5-triazine-2[1H]-one; 5-AZAC; Mylosar; 5 AZC; 5-AC; Vidaza",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Azaserine,115-02-6,"Medicine (antifungal), veterinary medicine (antibiotic, antineoplastic)",Diazoacetic acid ester w/serine; Azaserin; L-Diazoacetate (ester) serine; L-azaserine,Proposition 65 NSRLs/MADLs,3.1 E-3,1.1 E+1,1.1 E+1,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Azathioprine,446-86-6,Medicine (immunosuppression),Azanin; Azothioprine; Imuran; Imurek; Imurel; NSC-39084; Zytrim,Proposition 65 NSRLs/MADLs,5.1 E-4,1.8 E+0,1.8 E+0,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,LC,Currently listed,Developmental Toxicity,9/1/1996,FR,,,,,,,,,,,,
Azinphos-methyl,86-50-0,broad spectrum organophosphate insecticide,"azinophos-methyl, Guthion, azinphos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azobenzene,103-33-3,"Chemical intermediate in production of dyes, rubber accelerators, benzidine, insecticides, and pyrazolone derivatives. Formerly used as greenhouse fumigant against insects and mites.","Azobenzide; Azobenzol; Azobisbenzene; Azofume; Azodibenzeneazofume; Benzeneazobenzene; Benzofume; Diphenyldiimide; Diphenyldiazene; Diphenyl diimide; 1,2-Diphenyldiazene; Diazobenzene; NCI-C02926",,3.1 E-5,1.1 E-1,1.1 E-1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Barbiturates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Barium,7440-39-3,"Component of paints, soap, paper, rubber, alloys; manufacture of ceramics and glass","Barium, elemental",,,,,,,,,,,,,,,,,,Cardiovascular toxicity (hypertension),n/a,1,n/a,,2,2003,,,,,,,,,,,,,,,,,,,,,,,
Beclomethasone Dipropionate,9/8/5534,Medicine (glucocorticoid steroid),"Beclometasone dipropionate; (8S,9R,10S,11S,13S,14S,16S,17R)-9-chloro-11-hydroxy-10,13,16-trimethyl-3-oxo-17-[2-(propionyloxy)acetyl]-6,7,8,9,10,11,12,13,14,15,16,17-dodecahydro-3H-cyclopenta[a]phenanthren-17-yl propionate; 9-Chloro-11b,17,21-trihydroxy-16b-methylpregna-1,4-diene-3,20-dione 17,21-dipropionate; Aldecin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,5/15/1998,FR,,,,,,,,,,,,
Benomyl,17804-35-2,"Pesticide, fungicide. All registrations voluntarily cancelled in the US by 2002; estimated no use in US after 2003.",Methyl 1-(butylcarbamoyl)-2-benzimidazolecarbamate; 1-(Butylcarbamoyl)-2-benzimidazolecarbamic acid methyl ester; 1-(Butylcarbonyl)-2-benzimidazole carbamic acid; Methyl 1-(butylcarbamoyl) benzimidazol-2-ylcarbamate; (1-((Butylamino)carbonyl)-1h-benzimidazol-2-yl)-carbamicacimethylester,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",7/1/1991,SQE,,,7/1/1991,SQE,,,,,,,,
Bensulfuron-methyl,83055-99-6,Herbicide,"bensulfuron, bensulfuron-methyl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bentazon,25057-89-0,Herbicide (selective),Basagran; Bendioxide; Bentazon; Bentazone; Graminon-plus; Herbatox; Laddok; Leader; Pledge; EPA Pesticide Code: 275200,California Public Health Goals,,,,,,,,,,,,,,,,,Hepatotoxicity and digestive system toxicity,n/a,0.018,n/a,,0.2,2009,,,,,,,,,,,,,,,,,,,,,,,
Benthiavalicarb-isopropyl,177406-68-7,Fungicide; not currently registered for use in the US,"Benthiavalicarb (S-L isomer); 1-Methylethyl [(1S)-1-[[[(1R)-1-(6-fluoro-2-benzothiazolyl)ethyl]amino]carbonyl]-2-methylpropyl]carbamate; Isopropyl ((S)-1-{[(1R)-1-(6-fluoro-1,3-benzothiazol-2-yl)ethyl]carbamoyl}-2-methylpropyl)carbamate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-US EPA,,,,,,,,,,,,,,,,
Benz(a)anthracene,56-55-3,"Research chemical; chemical intermediate; component of tobacco smoke. Found in coal tar, roasted coffee, smoked foods, and automobile exhaust","BA; Benzanthracene; 1,2-benzanthracene; Benzoanthracene; Benzo(b)phenanthrene; Tetraphene",Proposition 65 NSRLs/MADLs,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,0.033 µg/day,,,2003,Currently listed,SQE,,,,,,,,,,,,,,,,
Benzene,71-43-2,"Additive in gasoline, solvent, oil extraction, photogravure printing, veterinary medicine (disinfectant); production of detergents, explosives, pharmaceuticals, and dyestuffs; chemical intermediate in production of ethylbenzene (styrene), cumene, cyclohexane; component of combustion emissions and tobacco smoke",AI3-00808; (6)Annulene; Benzol; Benzole; Caswell No. 077; Coal naphtha; Cyclohexatriene; NCI-C55276; Phene; Phenyl hydride; Polystream; Pyrobenzol; EPA Pesticide Code: 008801,Proposition 65 NSRLs/MADLs,2.9 E-5,1.0 E-1,1.0 E-1,,27,Mouse,Reproductive/ development; aplastic anemia and acute myelogenous leukemia,"Reproductive/ development, immune system, hematologic system",Severe,2014,3,2014,3,,"Hematologic system, nervous system, development",Yes,Carcinogenicity (leukemia),0.000001,0.001,0.000007,,0.00015,2001,13 µg/day,6.4 µg/day,49 µg/day,24 µg/day,2003,Currently listed,LC,Currently listed,"Developmental Toxicity, Male Reproductive Toxicity",12/26/1997,SQE,,,12/26/1997,SQE,,,,,,,,
Benzidine,92-87-5,"Formerly used to test for blood, produce dyes, No longer produced, used, or imported in US, though benzidine-based dyes may be imported.","Benzidine base; 4,4'-diaminobyphenyl; p-Diaminodiphenyl; CI 37225; Fast cornith base B; p-diamodiphenyl; p,p'-dianiline; di-phenylamine; diphenylamine",,1.4 E-1,5.0 E+2,5.0 E+2,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Benzidine-based Dyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,FR,,,,,,,,,,,,,,,,
Benzodiazepines,,Medicine (tranquilizers),Benzo; BZD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,10/1/1992,FR,,,,,,,,,,,,
Benzofuran,271-89-6,Component extracted from coal tar; component of coumarone-indene resin (used in food packaging),Coumarone; Cumaron; benzofurfuran; 1-oxindene; benzo[b]furan,Proposition 65 NSRLs/MADLs,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Benzophenone,119-61-9,"Photo initiator in UV-curing applications, UV blocker; biological analysis (photophysical probe)",alpha-Oxodiphenylmethane; alpha-Oxoditane; Benzoylbenzene; Diphenyl ketone; Diphenylmethanone; a-Oxodiphenylmethane; a-Oxoditane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Benzotrichloride,98-07-7,Production of dyes; chemical intermediate,"1-(Trichloromethyl)benzene; a,a,a-Trichlorotoluene; Benzylidyne trichloride; Phenylchloroform; Benzenyl chloride; Benzenly trichloride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Benzo[a]pyrene,50-32-8,"Component of coal tar, diesel emissions, and smoke resulting from combustion of organic material, including tobacco smoke","3,4-Benzopyrene; BaP; 3,4-Benz(a)pyrene; BP; Benzopyrene; NSC 21914",California Public Health Goals,1.1 E-3,3.9 E+0,2.9 E+0,,,,,,,,,,,,,,Carcinogenicity,0.000001,0.0002,0.00003,,0.000007,2010,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Benzo[b]fluoranthene,205-99-2,"Research chemical; found in coal, coke oven emissions, petroleum products","3,4-Benz(e)acephenanthrylene; 2,3-Benzofluoranthene; Benzo(e)fluoranthene",Proposition 65 NSRLs/MADLs,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,0.096 µg/day,,,2004,Currently listed,SQE,,,,,,,,,,,,,,,,
Benzo[j]fluoranthene,205-82-3,Research chemical (induces cancer); component of tobacco smoke,"7,8-Benzofluoranthene; 10,11-Benzofluoranthene; Dibenzo(A,JK)Fluorene",Proposition 65 NSRLs/MADLs,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,0.11 µg/day,,,2004,Currently listed,SQE,,,,,,,,,,,,,,,,
Benzo[k]fluoranthene,207-08-9,Product of combustion; component of tobacco smoke,"8,9-Benzfluoranthene; Dibenzo(B,JK)fluorene",,1.1 E-4,3.9 E-1,1.2 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Benzphetamine Hydrochloride,5411-22-3,Medicine (induce weight loss),"Benzeneethanamine, N,alpha-dimethyl-N-(phenylmethyl)-, hydrochloride, (alphaS)-; d-Benzphetamine hydrochloride",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Developmental Toxicity,4/1/1990,FR,,,,,,,,,,,,
Benzyl Acetate,140-11-4,"Solvent used in perfumery and in chemical synthesis; artificial jasmine and other perfumes; flavoring; solvent and high boiler for cellulose acetate and nitrate, natural and synthetic resins, oils, lacquers, polishes, printing inks, and varnish removers",Acetic acid benzyl ester; Acetic acid phenylmethyl ester; alpha-acetoxytoluene; benzyl ethanoate; NCI-C06508; Phenylmethyl acetate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,,,
Benzyl Chloride,100-44-7,"Chemical intermediate in manufacture of dyes, plasticizers, lubricants, gasoline additives, flavorings, pharmaceuticals, tanning agents, and quaternary ammonium compounds; irritant gas in chemical warfare, photographic developer",AI3-15518; omega-Chlorotoluene; Chlorophenylmethane; Chloromethylbenzene; (chloromethyl)Benzene; alpha-Chlorotoluene; NCI-C06360; Alpha-tolyl chloride; Tolyl chloride,Acute Reference Exposure Levels,4.9 E-5,1.7 E-1,1.7 E-1,,240,"Mouse, rat",Respiratory and eye irritation,Respiratory system; eyes,Mild,1999,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Benzyl Violet 4B,1694-09-3,"Dye for wool, silk, nylon, leather and anodized aluminum. Biological stain, wood stain, inks and colored paper. Has been used as a color additive in food, drugs and cosmetics",Acid violet; Benzyl violet; CI 42640; Coomassie violet; Fast acid violet 5BN; Food violet 2; Hidacid wool violet 5B; Kiton violet 4BNS; Pergacid Violet 3B; Solar violet 5BN; Wool violet 5BN,Proposition 65 NSRLs/MADLs,5.7 E-6,2.0 E-2,2.0 E-2,,,,,,,,,,,,,,,,,,,,,,,,,1992,Currently listed,SQE,,,,,,,,,,,,,,,,
Beryllium,7440-41-7,"Naturally occurring element; strengthening and conductive component used alone or in alloys (ie. aerospace material, electronics, fuel containers); component of tobacco smoke","Beryllium-9, Beryllium dust, Beryllium metal, Beryllium metallic, Glucinum, Glucinium",,2.4 E-3,8.4 E+0,,,,,,,,,,,0.007 (inhalation); 2.0 μg/kg BW-day (oral),,"Inhalation: Respiratory system,  immune system. Oral: Alimentary system (gastrointestinal tract)",Yes,,,,,,0.001,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Beryllium Oxide,1304-56-9,"Sintered to produce ceramic; semiconductor parts, filler in thermal interface materials, electronic and microelectronic applications",Beryllia; Beryllium monoxide; Bromellete; Thermalox 995,California Public Health Goals,2.4 E-3,8.4 E+0,,,,,,,,,,,0.007 (inhalation); 2.0 μg/kg BW-day (oral),,"Inhalation: Respiratory system,  immune system. Oral: Alimentary system (gastrointestinal tract)",Yes,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,
Beryllium Sulfate,13510-49-1,"Chemical intermediate production of beryllium salts, ceramics, and chemical reagents","Sulfuric acid, beryllium salt",,8.6 E-1,3.0 E+3,,,,,,,,,,,0.007 (inhalation); 2.0 μg/kg BW-day (oral),,"Inhalation: Respiratory system,  immune system. Oral: Alimentary system (gastrointestinal tract)",Yes,Digestive system toxicity,Oral cancer potency cannot be determined,0.004,Oral cancer potency cannot be determined,,,2003,,,,,,,,,,,,,,,,,,,,,,,
Betel quid with tobacco,,"Recreational stimulant, often containing betel leaf, areca nut, and/or slaked lime",Pan; Paan; Tanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Betel quid without tobacco,,"Recreational stimulant, often containing betel leaf, areca nut, and/or slaked lime",Pan; Paan; Tanbul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
Bevacizumab,216974-75-3,Bevacizumab is a cancer medicine that interferes with the growth and spread of cancer cells in the body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Under consideration,,,,,,,,,,,,,,,
Bevacizumab,216974-75-3,Bevacizumab is a cancer medicine that interferes with the growth and spread of cancer cells in the body.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Female Reproductive Toxicity,3/8/2019,FR,3/8/2019,FR,,,,,,,,,,
Bifenthrin,‎82657-04-3,pyrethroid insecticide,"2-Methyl-3-phenylphenyl)methyl (1S,3S)-3-[(Z)-2-chloro-3,3,3-trifluoroprop-1-enyl]- 2,2-dimethylcyclopropane-1-carboxylate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bis(2-chloro-1-methylethyl)ether, Technical Grade",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Bis(2-chloroethyl) Ether,111-44-4,"Chemical intermediate in production of pesticides; solvent, rust inhibitor","BCEE; Bis(beta-chloroethyl) ether; Chlorex; Chloroethyl ether; Clorex; DCEE; 2,2'-dichlorodiethyl ether; Dichloroether; Dichloroethyl ether; Di(beta-chloroethyl) ether; sym-dichloroethyl ether; Dichloroethyl oxide; EPA Pesticide Code: 029501",,7.1 E-4,2.5 E+0,2.5 E+0,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,,,,,,,,,,,,,,,,
Bis(2-chloromethyl) Ether,542-88-1,"Research chemical, lab reagent. Formerly used in manufacture of polymers, but it is no longer used commercially in the US.",BCME; Bis-CME; Chloromethyl ether; Dichlorodimethyl ether; Dichloromethyl ether; Oxybis(chloromethane),,1.3 E-2,4.6 E+1,4.6 E+1,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,LC,,,,,,,,,,,,,,,,
"2,2-Bis(bromomethyl)-1,3-propanediol",3296-90-0,"Reactive flame retardant in unsaturated polyester resins, moulded products, and rigid polyurethane foam",Pentaerythritol dibromide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-NTP,,,,,,,,,,,,,,,,
Bischloroethyl Nitrosourea (BCNU),154-93-8,Medicine (antineoplastic),"Carmustine; 1,3-Bis(2-chloroethyl)-1-nitrosourea; Bis-N,N'-(chloroethyl)nitrosourea; Bischlorethylnitrosourea; 1,3-bis(Chloroethyl)-1-nitrosourea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,SQE,Currently listed,Developmental Toxicity,7/1/1990,FR,,,,,,,,,,,,
Bisphenol-A,80-05-7,"Used to make certain plastics and epoxy resins. BPA-based plastic is made into a variety of common consumer goods, such as water bottles, sports equipment, CDs, and DVDs. Epoxy resins containing BPA are used as coatings on the inside of many food and beverage cans and in making thermal paper such as that used in sales receipts.","4,4'-(propane-2,2-diyl)diphenol, BPA, p,p'-isopropylidenebisphenol,, 	2,2-bis(4-hydroxyphenyl)propane",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,Female Reproductive Toxicity,4/11/2013,AB-NTP-CERHR,5/11/2015,SQE,,,,,,,,,,
"Bitumens, extracts of steam-refined and air refined",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Boric acid,10043-35-3,"Crosslinker in hydraulic fracturing; pesticide; insecticide; weatherproofing wood and fireproofing fabrics; preservative; ant poinsons or bait; used in the manufacture of various products, such as glass, paper products, electrical and electronic products, fabric, textile, leather products, lubricants, lawn and garden care products, and many more; flame retardant; nuclear-reactor cooling water additive; component in high contrast lith-type film developer formula; sequestrant; buffer; in cosmetic products; medication",Orthoboric acid; Boracic acid; Borofax; Boron hydroxide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Considered, but not listed",,,,,,,,,,,,,,,
Bracken Fern,,Grows with worldwide distribution; immature fronds (fiddleheads) are used as foodstuff,Bracken fiddleheads; Pteridium aquilinum; Gosari; Warabi; Juecai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Currently listed,AB-IARC,,,,,,,,,,,,,,,,
Bromacil,314-40-9,"Pesticide, herbicide","Borea; Borocil; Bromax; Bromazil; Cynogan; Hibor; Hyvar; Hyvarex; Istemul; Nalkil; Uragan; Urox ""B""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
